Date,pm2.5
2015-01-01,146.95190523397923
2015-01-02,140.5898096699584
2015-01-03,131.54521212468055
2015-01-04,138.7631631535371
2015-01-05,140.84419748046201
2015-01-06,170.68500202604628
2015-01-07,142.16959455598388
2015-01-08,153.89717601381486
2015-01-09,175.47398109785223
2015-01-10,145.42677762209055
2015-01-11,199.207939680609
2015-01-12,142.3062452076677
2015-01-13,182.06415744855764
2015-01-14,144.2809685523363
2015-01-15,172.93298760656825
2015-01-16,186.46051154130484
2015-01-17,165.91213376858528
2015-01-18,140.78141468549654
2015-01-19,155.52854079841907
2015-01-20,151.94059572928722
2015-01-21,173.0450400654528
2015-01-22,197.20503905733875
2015-01-23,165.44526505040798
2015-01-24,169.87085418716475
2015-01-25,118.86016165128724
2015-01-26,154.04768919942617
2015-01-27,135.3892543398416
2015-01-28,156.79281757466939
2015-01-29,152.63150179876635
2015-01-30,89.41509763758964
2015-01-31,117.91297568515164
2015-02-01,187.48551704681486
2015-02-02,154.41907265365828
2015-02-03,97.83784332208135
2015-02-04,146.35799987822
2015-02-05,149.03686963760094
2015-02-06,128.03571648244048
2015-02-07,145.93738873187124
2015-02-08,168.96630112183846
2015-02-09,168.24271520422738
2015-02-10,144.69891022380736
2015-02-11,175.27530022026974
2015-02-12,161.65204770524323
2015-02-13,133.74978901753155
2015-02-14,174.89257769809979
2015-02-15,139.7023666462522
2015-02-16,199.67168403691835
2015-02-17,152.031713455265
2015-02-18,155.6546815059695
2015-02-19,160.09638384915456
2015-02-20,148.95276810251195
2015-02-21,169.45073577038218
2015-02-22,119.68927880380274
2015-02-23,116.57809128367441
2015-02-24,129.53310343438173
2015-02-25,139.69775170745265
2015-02-26,152.25937790714903
2015-02-27,152.8489469297736
2015-02-28,158.3615801419299
2015-03-01,163.71062791260857
2015-03-02,118.61409063250935
2015-03-03,137.42990835638236
2015-03-04,98.40260113897223
2015-03-05,147.39483111996734
2015-03-06,131.48643961931265
2015-03-07,141.58582060834158
2015-03-08,126.66966428235884
2015-03-09,151.75944474941798
2015-03-10,95.47456824808802
2015-03-11,155.98013334151972
2015-03-12,131.604646340163
2015-03-13,144.79358237961242
2015-03-14,104.3595061792709
2015-03-15,133.38793200881827
2015-03-16,154.16131091004465
2015-03-17,115.64411368289409
2015-03-18,153.31723284777917
2015-03-19,126.72747116361568
2015-03-20,118.53120104478558
2015-03-21,159.7804906122217
2015-03-22,165.0039737097208
2015-03-23,150.14456407511557
2015-03-24,137.87797027296668
2015-03-25,120.68974024873873
2015-03-26,121.6286687252806
2015-03-27,128.92799205636067
2015-03-28,141.0538474624743
2015-03-29,169.20969215170553
2015-03-30,131.8580938747612
2015-03-31,119.92876453131734
2015-04-01,188.1973616400606
2015-04-02,139.31454425337066
2015-04-03,84.58743776398848
2015-04-04,101.12092098723403
2015-04-05,152.83657222038792
2015-04-06,105.52764298828997
2015-04-07,133.30858760856947
2015-04-08,157.3648228579016
2015-04-09,158.8475725081533
2015-04-10,150.8912626312116
2015-04-11,99.72680317555506
2015-04-12,102.87700982522506
2015-04-13,162.93370722243986
2015-04-14,132.43880261514025
